Date,Minimum Temperature (C),Maximum Temperature (C),Rainfall (mm),Sunshine (hours),Relative Humidity (%),Cloud Cover (oktas),Wind Direction,Wind Speed (km/h),Maximum Wind Gust (km/h),MSL Pressure (hPa)
1/02/2019,22.3,33.3,0,10.1,58,6,N,2,33,1014.7
2/02/2019,22.9,32.2,1,9.2,66,7,ESE,11,31,1015.4
3/02/2019,21.5,31.4,1.4,6.7,63,8,ESE,9,30,1015
4/02/2019,21.1,31.3,3,7.3,80,7,ESE,7,30,1014.1
5/02/2019,22.3,32.1,2.8,7.4,66,6,SE,11,35,1012.4
6/02/2019,21.8,30,17.2,7.5,85,8,N,4,33,1013.3
7/02/2019,21.8,30.5,8.2,4.9,75,7,ESE,7,35,1013.4
8/02/2019,22.8,30.4,2.6,4.5,73,8,ESE,7,28,1009.8
9/02/2019,21.9,33,0.2,12.5,66,5,N,2,24,1005.5
10/02/2019,22.5,32.8,0,11.5,62,1,SW,6,33,1004.8
11/02/2019,23.6,31.5,0,9.1,61,7,ENE,4,26,1009.6
12/02/2019,24,34.8,0,10.8,57,2,NW,6,30,1006.7
13/02/2019,23.8,34.3,0.8,11.5,56,1,NE,4,30,1005.7
14/02/2019,25.4,31.8,0,5.9,57,7,SE,11,44,1012.2
15/02/2019,23.1,31.3,0,11,48,7,SSE,7,43,1019.2
16/02/2019,20.9,30.9,0,10.5,47,3,SE,13,35,1018.1
17/02/2019,20,32,0,12.3,48,2,SSE,7,30,1014.9
18/02/2019,20.8,32.2,0,11.3,52,5,S,6,30,1012.4
19/02/2019,20.4,33.7,0,12,56,1, ,0,22,1009.5
20/02/2019,23.5,33.9,0,11.6,58,4,SSW,6,31,1009
21/02/2019,25.2,33.5,0,9,61,7,SSE,13,39,1008.3
22/02/2019,23.1,32,0.2,10.2,50,2,SSE,20,44,1009
23/02/2019,21.5,31.9,0,11.6,48,2,SSW,9,39,1013.4
24/02/2019,20.8,30.7,0,10.4,45,7,S,13,44,1019.4
25/02/2019,19.8,29.4,0.2,8.2,82,7,SE,9,43,1023.2
26/02/2019,19.7,26.8,0.2,3.8,61,7,SE,9,33,1021.7
27/02/2019,18.9,29.5,0,7,55,7,ESE,7,33,1020.7
28/02/2019,20.2,26.8,0.2,2.5,78,8,SSE,6,31,1022.8
